lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M,NDVI,CO,HCHO,NO2,SO2,CLOUD,O3,AAI,Actual_Label
21.127739,105.88954,5.4764967,2.875267,75.20513,24.480635,27.565012,21.755009,29.54375,91.29938,100882.234,-0.0016647143,0.04558643,0.00023927493,5.5775286e-05,-3.688451e-05,1.0,0.13666901,-0.4438469,2
21.123247,106.28833,5.527568,1.01282,60.21953,18.824999,21.6,16.810007,0.0625,74.575,101367.44,0.0118686175,0.049620323,0.00011601223,0.00010952184,1.5188734e-05,1.0,0.10877994,-0.6143604,3
21.01525,105.80013,4.3072305,0.45355022,325.21497,29.68751,34.150017,26.85,9.0,69.05,100390.234,0.025315464,0.036152367,0.00015198626,6.6875524e-05,-7.395996e-05,0.5332866,0.12440442,-0.8891009,3
21.01525,105.80013,4.3072305,0.3090029,150.4276,28.075006,33.249992,25.249994,13.3125,77.55,100498.31,0.026023954,0.0405879,0.0003920436,9.8980876e-05,0.00059816963,1.0,0.120782346,-0.12515199,4
21.037727,106.146805,5.693217,4.0730457,134.57726,27.550009,32.150017,24.249994,0.9375,82.275,100688.555,0.61717355,0.042245705,0.0003527632,4.346832e-05,0.00030087453,0.1993616,0.13071336,-2.2965646,2
21.151808,106.15188,5.995299,5.1871533,19.57022,14.838747,18.13,12.4699955,3.0,63.600002,101557.54,0.034141313,0.05171244,0.00014735473,7.458312e-05,4.3935455e-05,0.80699193,0.116065376,-0.17127042,0
21.152746,106.111374,5.5352697,4.0763297,24.735844,12.13587,13.362006,10.483006,0.0625,51.82375,102236.34,0.028749764,0.051447514,9.099516e-05,9.618014e-05,2.0460751e-05,0.8695629,0.10351189,-2.02691,2
21.083204,106.280785,5.4414167,2.605438,133.73648,20.701246,24.269983,18.049982,0.625,80.9,101158.52,0.011893758,0.055754073,0.0001755558,9.120784e-05,1.9059054e-05,1.0,0.11806602,-0.042634103,4
21.18734,106.074295,5.0149364,2.4559522,161.2054,32.77501,39.05001,28.550013,2.125,60.9,100097.23,0.17735043,0.034385826,0.00020579333,3.5789264e-05,-0.00054532004,0.2743686,0.12655504,-1.1404344,2
21.151808,106.15188,5.995299,3.334622,141.81985,22.91125,25.749994,20.950006,1.3125,85.275,100932.766,0.032214463,0.055847425,0.00020736715,6.69247e-05,-5.6127847e-05,0.74518555,0.13084856,0.18969314,3
21.152746,106.111374,5.5352697,1.4447509,102.57459,19.240744,23.237005,16.690994,2.6875,76.86875,101425.78,0.01434476,0.063420996,0.00016457147,8.577999e-05,2.7957323e-05,0.6,0.116540916,-0.21708155,2
21.024347,106.01729,4.988467,2.3145251,137.999,21.002497,23.57998,18.260004,0.0625,74.1,101402.664,0.014182535,0.05242185,0.00015611948,7.737147e-05,4.777684e-05,1.0,0.120012455,0.35933647,4
21.127575,105.95083,5.7695165,1.8264246,340.92108,24.068129,24.999994,23.100016,30.5,93.8625,100811.625,0.0023628585,0.040959936,0.00012746191,8.472177e-05,9.712663e-06,1.0,0.11231248,-0.4974364,2
21.1164,106.3856,3.3828938,3.7257736,138.85007,20.118843,26.179085,16.0497,0.0,69.91487,101015.8,0.03534144,0.057233714,7.017674e-05,9.846307e-05,1.4280367e-05,0.7195241,0.10512866,0.25833327,3
